Entrez	Gene Symbol	Ensembl ID	P-value
1280	COL2A1	ENSG00000139219	3.55e-08
3842	TNPO1	ENSG00000083312	4.21e-07
631	BFSP1	ENSG00000125864	3.81e-06
84172	POLR1B	ENSG00000125630	1.2e-05
23036	ZNF292	ENSG00000188994	2.53e-05
646643	SBK2	ENSG00000187550	3.1e-05
401565	FAM166A	ENSG00000188163	3.32e-05
3577	CXCR1	ENSG00000163464	3.44e-05
64078	SLC28A3	ENSG00000197506	3.69e-05
10404	CPQ	ENSG00000104324	4.61e-05
3156	HMGCR	ENSG00000113161	4.83e-05
25788	RAD54B	ENSG00000197275	5.84e-05
442117	GALNTL6	ENSG00000174473	6.23e-05
23580	CDC42EP4	ENSG00000179604	7.18e-05
51605	TRMT6	ENSG00000089195	9.22e-05
