Entrez	Gene Symbol	Ensembl ID	P-value
3717	JAK2	ENSG00000096968	7.81e-95
4851	NOTCH1	ENSG00000148400	1.15e-36
4615	MYD88	ENSG00000172936	6.630000000000001e-26
4353	MPO	ENSG00000005381	2.86e-19
2782	GNB1	ENSG00000078369	2.37e-17
23495	TNFRSF13B	ENSG00000240505	2.91e-17
6372	CXCL6	ENSG00000124875	6.3e-17
23253	ANKRD12	ENSG00000101745	2.79e-16
2920	CXCL2	ENSG00000081041	2.43e-14
1441	CSF3R	ENSG00000119535	2.54e-14
7297	TYK2	ENSG00000105397	1.58e-13
2870	GRK6	ENSG00000198055	2e-13
3579	CXCR2	ENSG00000180871	2.3e-12
23451	SF3B1	ENSG00000115524	6.94e-12
673	BRAF	ENSG00000157764	1.48e-11
