Entrez	Gene Symbol	Ensembl ID	P-value
100505591	LRRC3C	ENSG00000204913	1.27e-06
171023	ASXL1	ENSG00000171456	1.5e-06
340543	TCEAL5	ENSG00000204065	1.44e-05
389549	FEZF1	ENSG00000128610	1.96e-05
2896	GRN	ENSG00000030582	2.61e-05
2938	GSTA1	ENSG00000243955	2.81e-05
9404	LPXN	ENSG00000110031	4.13e-05
23608	MKRN1	ENSG00000133606	4.2e-05
145581	LRFN5	ENSG00000165379	4.56e-05
8862	APLN	ENSG00000171388	5.46e-05
26119	LDLRAP1	ENSG00000157978	5.52e-05
7837	PXDN	ENSG00000130508	6.01e-05
65078	RTN4R	ENSG00000040608	7.07e-05
414	ARSD	ENSG00000006756	7.66e-05
283471	TMPRSS12	ENSG00000186452	8.71e-05
1984	EIF5A	ENSG00000288145	8.85e-05
11275	KLHL2	ENSG00000109466	8.87e-05
23345	SYNE1	ENSG00000131018	9.3e-05
