Entrez	P-value
6311	6.999999999999999e-209
80305	1e-133
94239	5.0000000000000003e-107
10257	2e-101
9927	5e-101
1029	4e-89
22818	8e-78
596	4e-76
350	2e-68
124540	1e-64
169981	6.999999999999999e-62
148823	1e-61
10171	1e-61
63892	5e-60
57787	6e-59
10906	5e-55
3090	4.9999999999999996e-54
91768	8e-52
51272	9e-52
85366	7e-51
23293	3e-50
64844	5e-50
3106	2.0000000000000003e-49
10666	8.000000000000001e-49
63976	5e-48
196740	6e-48
342618	5e-47
5339	5e-47
7171	1e-46
1523	3e-46
9734	4e-41
2078	2e-40
30845	2e-40
23186	8.000000000000001e-39
10420	1e-37
1950	2e-36
80018	2e-36
57130	2e-36
861	2e-36
3705	1e-35
161882	4e-35
5890	4e-35
7297	8e-35
11030	6e-34
28	2e-33
143888	2e-33
164656	6e-33
7132	9.999999999999999e-33
51564	1.9999999999999998e-32
7372	1e-31
6643	2e-31
9779	2e-31
2122	2e-31
9938	3.0000000000000003e-31
348	6.0000000000000005e-31
57210	6e-28
10644	1e-27
4162	1e-27
5341	1e-27
29941	1e-27
5379	5e-27
841	8e-27
23199	9.999999999999999e-27
729830	9.999999999999999e-27
4330	3e-26
421	7.999999999999999e-26
6764	3e-25
23495	8.999999999999998e-25
80222	3e-24
3899	3e-24
79890	5e-24
6497	5e-24
3133	8.000000000000001e-24
80339	2.0000000000000002e-23
7704	2.0000000000000002e-23
25953	4.0000000000000004e-23
2590	5e-23
165324	5e-23
9727	6e-23
147798	6e-23
111	7.000000000000001e-23
124491	5e-22
1027	5e-22
10320	5e-22
3953	6e-22
80853	8e-22
1602	8e-22
221037	1e-21
10767	2e-21
55604	2e-21
91452	3e-21
94	3e-21
54815	4e-21
775	5e-21
7384	9e-21
64236	1e-20
4343	1e-20
51530	2e-20
8347	2e-20
246778	2e-20
3842	3e-20
23365	7e-20
4815	1e-19
1997	4e-19
896	4e-19
55206	4e-19
117283	5e-19
7629	5e-19
57515	5e-19
11322	5e-19
56829	6e-19
5778	9e-19
83874	9e-19
9047	1e-18
345	2e-18
8328	3e-18
10057	4e-18
9415	6e-18
1956	6e-18
5029	7e-18
79056	8e-18
56987	2e-17
5581	2e-17
55214	3e-17
3822	3e-17
22925	3e-17
29091	6e-17
23331	8e-17
10673	9e-17
5329	1e-16
8140	2e-16
147968	2e-16
8115	2e-16
26153	2e-16
81671	2e-16
51312	2e-16
226	2e-16
9958	3e-16
8029	3e-16
9497	3e-16
54997	3e-16
10788	3e-16
219654	3e-16
10274	4e-16
2313	5e-16
4784	5e-16
1284	7e-16
1435	1e-15
2308	1e-15
114548	1e-15
57140	1e-15
10184	2e-15
129080	2e-15
55619	2e-15
10954	2e-15
65264	3e-15
830	3e-15
5324	3e-15
7091	3e-15
116028	3e-15
10053	4e-15
6284	4e-15
6484	4e-15
252983	5e-15
55466	5e-15
51741	6e-15
25914	6e-15
84626	6e-15
84444	6e-15
8698	7e-15
8289	7e-15
3083	8e-15
7036	9e-15
84059	9e-15
23170	1e-14
9411	1e-14
3964	2e-14
7064	2e-14
64393	3e-14
84619	3e-14
832	4e-14
5819	5e-14
2113	5e-14
64798	5e-14
79748	6e-14
3750	7e-14
7094	7e-14
89795	9e-14
2624	1e-13
3784	1e-13
10723	1e-13
165545	1e-13
56252	2e-13
85439	2e-13
5899	2e-13
391	2e-13
64651	3e-13
54828	3e-13
