Entrez	Gene Symbol	Ensembl ID	P-value
170680	PSORS1C2	ENSG00000234605	3.16e-11
7746	ZSCAN9	ENSG00000137185	4.04e-11
11120	BTN2A1	ENSG00000112763	7.79e-11
387032	ZKSCAN4	ENSG00000187626	9.64e-09
8348	H2BC17	ENSG00000274641	2.79e-08
64288	ZSCAN31	ENSG00000235109	3.36e-08
7718	ZNF165	ENSG00000197279	3.54e-08
94026	POM121L2	ENSG00000158553	6.22e-08
8342	H2BC14	ENSG00000273703	8.71e-08
84547	PGBD1	ENSG00000137338	1.05e-07
2882	GPX7	ENSG00000116157	7.71e-07
