	MisSyn	pli	Length	GO	sHet	mrna	n_mrna	CDS	lof	phy	Set
GCST009718_HP_0000964	-0.016361	0.906	38860.0	21.0	0.0102621	5.8088072777777775	42.0	1077.0	35.778	0.964	Common
GCST90328131_MONDO_0002009	-0.14427	0.546	221110.0	16.0	0.0762181	6.3887821851851845	46.0	1748.0	56.194	1.126	Common
GCST90018905_MONDO_0008315	-0.040734	0.79	64261.0	17.5	0.02838745	11.085906675925926	52.0	1296.5	38.981	1.026	Common
GCST90012111_EFO_0004696	0.16778	0.669	78720.0	15.0	0.042820449999999996	13.37371948148148	54.0	1658.0	55.388	1.0808333333333335	Common
GCST90269717_EFO_0022238	0.1102205	0.979	40616.0	21.0	0.00711447	18.510566018518517	53.5	1404.0	53.997	1.1355	Common
GCST90269723_EFO_0022255	0.063051	0.815	21049.0	17.0	0.0176376	9.98522053703704	52.0	1569.0	66.434	1.011	Common
GCST90269554_EFO_0022262	0.14471499999999998	0.6074999999999999	133300.0	22.0	0.03550635	21.54912846111111	48.0	1959.0	85.81049999999999	1.0795	Common
GCST90319878_EFO_0001422	-0.16009515	1.142	37001.5	14.5	0.00152732	3.6938302425925915	37.0	1339.5	36.589	1.0084374999999999	Common
GCST90301983_EFO_0022164	0.32496	0.762	44492.0	20.0	0.00980722	12.01094651851852	52.0	1654.0	67.985	1.026	Common
GCST90013680_EFO_0000274	0.27396	0.938	33876.0	19.0	0.00521868	21.201217037037036	54.0	1658.0	58.041	0.9896666666666666	Common
GCST90270932_EFO_0004607	0.160905	0.817	96931.5	16.0	0.0117967	8.620037314814816	52.5	1107.0	40.2765	1.0153571428571428	Common
GCST003198_HP_0000023	0.11696499999999999	0.7875000000000001	203688.0	6.0	0.08618748	4.064427161111111	25.0	1184.0	44.178	1.1377941176470587	Common
GCST90025489_EFO_0010226	0.2299755	1.0035	21416.5	12.0	0.018040735	32.74093287037037	54.0	1107.5	54.449	1.0196	Common
GCST90018974_EFO_0004574	0.232745	0.74	69351.0	16.0	0.02071655	11.307133148148148	54.0	1575.0	56.272999999999996	1.026	Common
GCST90018806_EFO_0003144	-1.6225	0.979	425189.0	7.0	0.00135415	12.201762555555554	53.0	2108.0	70.358	1.026	Common
GCST90428733_MONDO_0005180	0.9482300000000001	0.5425	43947.5	23.0	0.0369563	15.55242037037037	51.0	1969.5	74.7945	1.0314999999999999	Common
GCST90278643_EFO_0004570	0.440395	0.567	209391.5	16.5	0.0993861	16.522139814814814	54.0	2424.5	77.65549999999999	1.0796000000000001	Common
GCST004616_EFO_0007984	0.20901	0.688	97336.5	17.5	0.0364329	13.332008333333336	54.0	1706.5	61.0965	1.0826666666666667	Common
GCST90245818_EFO_0003894	0.0076154	0.883	111418.0	13.0	0.0123693	10.627279470370368	52.0	1706.0	61.411	1.026	Common
GCST011176_EFO_0000712	0.37016	0.586	188244.0	9.0	0.0532958	8.840361666666666	51.0	1824.0	62.229	1.026	Common
GCST90301999_EFO_0022157	0.25463	0.815	74587.0	17.0	0.00980722	14.616154444444444	53.0	1496.0	55.721	1.026	Common
GCST002730_HP_0012115	0.07782	0.6	570803.0	17.0	0.0551799	1.0252918494444443	11.0	1938.0	61.295	1.1362	Common
GCST90269725_EFO_0022337	-0.24716000000000002	0.661	64367.5	17.0	0.0407742	16.018326574074074	52.5	2067.5	75.45349999999999	1.01235	Common
GCST90244005_EFO_0007805	-0.13193	0.739	65542.0	15.0	0.0150929	11.896110185185185	53.0	1617.0	52.318	1.026	Common
GCST011353_EFO_0004533	0.07441985	0.8534999999999999	67507.0	17.5	0.01424225	13.229372592592593	53.0	1666.5	53.2775	1.0375	Common
GCST90278629_EFO_0004312	0.07867500000000001	0.4885	64823.0	17.0	0.1408725	9.116862833333329	44.0	1451.5	59.837	1.0801857142857143	Common
GCST90257014_EFO_0004191	-0.090035	0.531	83681.0	5.0	0.0788049	5.36264432740741	51.0	2116.0	36.935	1.138	Common
GCST005016_EFO_0008414	0.042207	0.557	240437.0	15.0	0.0469702	11.873785296296296	37.0	2053.0	56.175	1.049	Common
GCST001687_EFO_0004994	-0.524995	0.8155	96870.5	17.5	0.02386566	12.149420812037036	46.0	1878.0	60.958999999999996	1.0125	Common
GCST90269643_EFO_0022297	0.068141	0.918	27588.0	17.0	0.0206853	14.65669760925926	52.0	1716.0	50.699	1.026	Common
GCST90018950_EFO_0004458	0.163165	0.6885	81546.0	18.0	0.034660250000000004	11.307133148148148	53.0	1725.0	55.9615	1.086	Common
GCST009516_EFO_0000198	0.0012328	0.647	294043.0	20.0	0.0545294	5.645963703703703	44.0	1519.0	20.903	1.138	Common
GCST009826_MONDO_0002974	0.057626	0.805	74181.0	14.0	0.0115726	6.742445833333331	51.0	1449.0	46.355	1.0282857142857142	Common
GCST90301961_EFO_0005680	-0.023623	0.884	51046.0	18.0	0.00864248	5.98819025925926	50.0	1654.0	58.606	1.026	Common
GCST90025962_EFO_0004528	0.11692749999999999	0.81	41288.5	13.0	0.01097286	7.611811916666668	47.0	1677.5	44.1355	1.0081666666666667	Common
GCST90018953_EFO_0004842	0.067009	0.69	83231.0	18.0	0.04151515	10.490165790740743	53.0	1484.0	49.19	1.045	Common
GCST90095474_MONDO_0005041	-0.2942	0.748	312127.5	14.0	0.01886805	24.586769805555555	50.0	2100.5	70.2105	1.026	Common
GCST90269658_EFO_0021900	0.180695	0.749	69958.0	16.5	0.0191081	10.99808352777778	52.0	1471.0	55.795	1.026	Common
GCST90302047_EFO_0022268	0.24891	0.786	44492.0	21.0	0.0182978	12.557389944444443	53.0	1878.0	62.059	1.026	Common
GCST90128471_MONDO_0005090	-0.072127	0.628	155776.0	14.0	0.0557669	8.659874729629632	52.0	1911.0	60.226	1.1006666666666665	Common
GCST90446530_EFO_0000685	0.1738	0.843	29224.0	30.0	0.00995938	37.08949074074073	54.0	2957.0	122.43	1.018	Common
GCST004618_EFO_0005090	0.11388200000000001	0.6385000000000001	57956.5	16.0	0.0324323	8.781681453703706	52.0	1193.0	43.568	1.0255	Common
GCST012012_MONDO_0005129	0.135383	0.4385	144765.0	14.5	0.0889572	13.25807860185185	53.0	1917.5	67.2485	1.1275	Common
GCST90091655_EFO_0008589	-1.0559	1.084	8048.0	66.0	0.00980722	34.140069259259256	54.0	1209.0	27.892	0.932	Common
GCST90018587_EFO_0000341	0.284715	0.848	228248.5	6.0	0.00240545	7.694104639814813	52.0	1471.0	71.374	1.0042083333333334	Common
GCST004600_EFO_0007991	0.20292	0.7625	90330.0	19.0	0.0268619	10.395223055555554	53.0	1576.0	49.962	1.026	Common
GCST90302160_EFO_0022144	0.092531	0.815	80810.0	17.0	0.0126947	8.804399529629633	51.0	1878.0	54.131	1.011	Common
GCST010736_EFO_0007778	0.013112	0.88	41999.0	24.0	0.0155191	24.904636346296297	53.0	1380.0	53.759	1.0393333333333334	Common
GCST90277988_EFO_0000555	-0.184345	0.52	237145.5	18.0	0.0922711	5.901496040555556	35.5	2669.0	95.97	1.13275	Common
GCST90302132_EFO_0022312	0.225505	0.7885	74480.5	17.0	0.0165557	12.565546407407407	53.0	1379.0	49.339	1.026	Common
GCST90269600_EFO_0022153	-0.34716	0.884	51046.0	20.0	0.02126	15.43998074074074	52.0	2022.0	69.062	0.959	Common
GCST90104786_EFO_0004143	0.46389	0.924	53626.0	15.0	0.00967507	9.867134353703698	50.0	2088.0	68.433	1.026	Common
GCST90011866_MONDO_0007915	0.629415	0.948	64804.5	16.0	0.012828885	6.133538527777777	40.5	2128.0	78.33099999999999	1.0979375	Common
GCST90302120_EFO_0005058	0.12284	0.439	108602.0	18.0	0.0511912	16.596672407407407	53.0	1325.0	41.287	1.1375	Common
GCST006956_EFO_0004234	-0.38325	0.774	137820.0	11.0	0.0146957	7.713675185185185	50.0	1315.0	55.554	1.107	Common
GCST003127_EFO_0006925	-0.62026	1.1764999999999999	123827.5	13.0	0.0007881365	3.2536969694444444	44.5	1782.5	64.618	0.8638333333333333	Common
GCST90301981_EFO_0022161	0.41727	0.815	44492.0	19.0	0.00768025	11.262061187037038	52.0	2022.0	74.129	1.026	Common
GCST011354_EFO_0007167	0.397795	0.597	262117.0	16.0	0.034345	7.661013664814816	50.0	2255.0	73.4765	1.0545	Common
GCST90002390_EFO_0004527	0.0016543	0.688	71647.0	17.0	0.05084355	14.63260436111111	54.0	1524.0	48.801	1.049	Common
GCST90428113_HP_0000360	0.040702	0.534	167610.0	14.0	0.08262525000000001	9.57202034814815	52.0	1802.0	70.014	1.102	Common
GCST90013719_MONDO_0024647	0.27523	0.746	45562.0	22.0	0.0165609	6.585542703703704	50.0	1878.0	71.968	1.022	Common
GCST90025966_EFO_0004532	0.53075	0.963	34194.0	20.0	0.0020538	5.2193117851851865	27.0	2169.0	55.362	1.025	Common
GCST006083_EFO_0001663	0.15155	0.84	134358.5	18.0	0.009585165	11.650537703703701	53.5	2113.5	80.722	1.026	Common
GCST90002302_EFO_0004842	0.052599	0.704	88607.0	16.5	0.031067	10.7307362962963	53.0	1412.0	49.065	1.026	Common
GCST90258657_EFO_0000280	-0.39811	0.594	100563.0	14.0	0.0559469	7.073330107407407	50.0	1446.0	52.517	1.138	Common
GCST90044775_EFO_0004238	-0.040734	0.788	86999.0	14.0	0.0124885	8.199422605555553	52.0	1969.0	70.989	1.026	Common
GCST90302118_EFO_0005110	0.063051	0.912	37076.0	17.0	0.00816304	5.98819025925926	50.0	1878.0	61.937	1.026	Common
GCST90269569_EFO_0010117	0.33067	0.761	47687.0	20.0	0.0136298	11.40112687037037	53.0	1533.0	62.997	1.0228	Common
GCST90245894_HP_0100790	-0.008420000000000004	0.745	98969.0	18.5	0.019980400000000002	9.164249945092592	49.0	1417.5	62.239000000000004	1.0096666666666665	Common
GCST90034520_MONDO_0005178	-0.40631	0.602	160584.0	16.0	0.0339483	5.590251525925927	46.5	1870.0	64.304	1.0806999999999998	Common
GCST90274713_MONDO_0008315	0.087758	0.709	97159.0	15.0	0.0396243	11.531658485185185	53.0	1643.5	55.932500000000005	1.0530952380952383	Common
GCST90018730_EFO_0004458	-0.08622	0.8674999999999999	44113.0	31.0	0.007942855	7.177927213888889	31.5	1071.0	33.7095	0.7335	Common
GCST90002412_EFO_0004611	-0.11805	0.818	63193.0	15.0	0.0229569	14.541071388888888	54.0	1578.0	54.2265	1.026	Common
GCST005306_EFO_0000275	0.90959	0.379	261557.0	26.0	0.100659	13.75399796296296	50.0	1953.0	64.152	1.138	Common
GCST90446794_EFO_0000729	0.051539	0.683	106597.0	20.0	0.0290464	13.002511481481484	54.0	1461.0	55.362	1.026	Common
GCST002748_MONDO_0018364	0.39319	0.729	50274.5	26.5	0.0336341	5.828700810185184	24.5	1326.0	32.991	1.026	Common
GCST003096_EFO_0004502	-2.2636000000000003	0.982	818436.0	3.0	0.0268619	2.9376891733333346	11.0	1268.0	36.677	0.6996249999999999	Common
GCST005002_EFO_0007326	0.1627	0.425	158202.0	13.0	0.0719069	7.087882609259257	38.0	2377.0	100.09	1.1042	Common
GCST007241_EFO_0001073	0.48565500000000006	0.8385	69194.5	19.0	0.011322800000000001	21.801312361111115	52.5	968.5	54.141000000000005	1.0556875	Common
GCST90018731_EFO_0004838	0.045369999999999994	0.701	119463.5	20.0	0.04776705	16.368696944444448	54.0	1881.0	62.071	1.129875	Common
GCST90269595_EFO_0021902	0.056437	0.788	80810.0	16.0	0.0191081	15.43998074074074	53.0	2030.0	66.434	1.026	Common
GCST90020227_MONDO_0002009	-0.27993	0.578	200999.0	16.0	0.0657461	6.217539388888889	50.0	1673.0	52.567	1.118	Common
GCST90446654_EFO_0006788	-0.157499	0.376	360766.0	19.5	0.11559125	2.8120680892592587	33.0	3134.0	112.803	1.062	Common
GCST007718_EFO_0007778	-0.5122	0.705	305845.0	30.0	0.0252341	18.692406296296294	54.0	2524.0	72.857	0.324	Common
GCST90278630_EFO_0004532	-0.018396	0.716	69954.0	17.0	0.0181327	10.807885370370371	53.0	1878.0	68.133	1.026	Common
GCST90435268_MONDO_0005575	-0.010617	0.711	86266.0	15.0	0.034206	9.617401666666664	51.0	1417.0	51.064	1.11	Common
GCST007292_EFO_0003770	-0.22375	0.7155	303562.5	10.0	0.0320467	6.353002277777778	49.5	2224.5	55.7805	1.085	Common
GCST90012210_EFO_0004509	-0.298295	0.804	66964.0	17.5	0.0586845	17.92083722222222	54.0	1803.5	80.6265	1.0149166666666667	Common
GCST90269713_EFO_0022249	-0.029894500000000004	0.733	36996.5	20.0	0.01748885	8.554968697222222	49.5	2216.5	65.56049999999999	0.974	Common
GCST90245889_HP_0000023	-0.68049	0.6735	203688.0	14.0	0.1077075	4.064427161111111	34.0	1375.5	66.137	1.1357941176470587	Common
GCST90269556_EFO_0010732	0.22746499999999997	0.5660000000000001	126727.0	15.5	0.05450085	13.588053888888883	54.0	1860.0	67.6075	1.1295	Common
GCST90269625_EFO_0022181	0.063051	0.884	42746.0	20.0	0.0178416	13.036009055555557	48.0	1827.0	58.606	1.026	Common
GCST90428574_EFO_0004251	-0.45298000000000005	0.75	129423.0	23.5	0.04901045	7.3696358981481485	54.0	1661.0	41.636	1.0562500000000001	Common
GCST90269714_EFO_0022280	-0.040711500000000005	0.749	65527.0	17.0	0.0203032	12.149035121296297	52.0	1868.5	64.2465	1.026	Common
GCST004776_EFO_0006335	0.13758	0.639	135732.0	20.0	0.0375931	9.32323924074074	52.0	1846.0	73.665	1.054	Common
GCST90132222_EFO_0000685	0.25774	0.695	94339.0	16.0	0.030959	6.124413055555557	48.0	1326.5	42.719	1.026	Common
GCST90302071_EFO_0010733	0.019713999999999995	0.898	50593.5	17.5	0.0083415	5.85379712962963	48.5	1642.0	60.7385	1.026	Common
GCST90319855_EFO_0000681	-0.101674	0.6094999999999999	262670.5	12.0	0.04688955	8.973905156481482	51.5	2014.5	77.2225	1.0461	Common
GCST90018799_MONDO_0007254	0.0745895	0.7495	134319.0	17.0	0.0384603	3.6657069425925926	27.0	2341.5	64.3765	1.026	Common
GCST007353_EFO_0005917	0.071193	0.49	323432.0	28.0	0.0896508	7.735152655555557	52.0	2628.0	69.059	1.138	Common
GCST90000016_MONDO_0005277	-0.18053	0.6054999999999999	149121.0	10.5	0.0313175	9.568716814814811	46.5	1552.0	60.471000000000004	1.1285833333333333	Common
GCST90310294_EFO_0006335	0.057033	0.638	120532.5	15.0	0.04425645	12.351573816666669	53.0	1767.0	60.225	1.0619166666666666	Common
GCST005830_EFO_0006941	-0.07882700000000001	0.5714999999999999	160965.0	14.0	0.06984024999999999	9.38616351851852	53.0	2097.0	66.464	1.1142500000000002	Common
GCST004748_MONDO_0008903	0.25831	0.764	83514.0	14.0	0.0166298	9.863406961111114	52.0	1597.0	54.779	1.026	Common
GCST90018973_EFO_0004570	0.061532	0.71	83465.0	18.0	0.0493411	11.473836111111108	53.0	1583.0	55.721	1.0305	Common
GCST90019504_EFO_0004617	0.0677035	0.8825000000000001	65826.5	15.0	0.0140373	9.479767333333337	51.0	1560.0	50.5185	1.026	Common
GCST90301327_EFO_0000384	-0.087001	0.698	70569.0	23.5	0.0602271	8.742254444444445	54.0	1740.5	43.2115	1.0726666666666667	Common
GCST000612_EFO_0001060	0.3483	0.618	132043.0	14.0	0.041236	7.953092370370367	52.0	1219.0	48.242	1.0913333333333333	Common
GCST90301366_EFO_0006335	-2.2451499999999998	0.78	484019.0	11.5	0.05750515	10.986635553703707	15.0	1804.5	63.153	1.0451111111111109	Common
GCST90011809_EFO_0000756	-0.5122	0.737	117884.0	15.0	0.0121182	10.596337592592594	54.0	1589.0	53.605	1.026	Common
GCST90269507_EFO_0022317	0.14206	0.581	44491.0	22.0	0.0391555	20.391359074074074	53.0	1857.0	63.367	1.026	Common
GCST90297563_EFO_0000571	-0.25026	0.846	56817.0	13.0	0.0824091	7.413892592592592	52.0	1146.0	50.826	1.0418333333333334	Common
GCST90269635_EFO_0022180	-0.150865	0.889	25809.5	18.0	0.00782402	10.836867417592593	49.0	1902.5	62.2265	1.024	Common
GCST004710_EFO_0000681	0.4042	0.7424999999999999	105315.5	20.5	0.02807535	11.998856675925923	54.0	2014.0	58.3585	1.072	Common
GCST90018747_EFO_0005091	0.013066	0.848	76624.0	17.0	0.01847815	9.929564587037037	51.0	1344.0	44.375	1.026	Common
GCST90328134_EFO_0004193	0.0549805	0.85	78853.5	14.5	0.01374125	11.707055	53.0	1791.0	60.0705	1.026	Common
GCST005989_EFO_0004536	-0.129923	0.4305	23797.5	16.5	0.07000034999999999	16.849511240740743	53.5	1496.5	42.0685	1.0255	Common
GCST003981_EFO_0004698	0.020023	0.856	140417.0	7.0	0.00770355	22.01625843888889	53.0	1158.0	73.954	1.026	Common
GCST90399479_MONDO_0004975	0.03267	0.815	69983.5	21.5	0.02746415	14.839870833333336	54.0	1187.0	48.862	1.071	Common
GCST90310240_MONDO_0019338	0.3198	0.9515	175074.0	10.5	0.00979093	6.639344722222223	52.0	1661.0	55.132000000000005	1.0325714285714285	Common
GCST90018795_MONDO_0004979	0.0584385	0.7715000000000001	79359.5	20.5	0.020360999999999997	20.043925782407406	54.0	1293.5	42.831	1.026	Common
GCST005829_EFO_0006941	-0.13287	0.592	165828.0	20.0	0.0743766	12.4308767037037	54.0	1946.0	80.722	1.040375	Common
GCST90002382_EFO_0007991	0.0680115	0.683	76852.0	17.0	0.0356104	10.817670370370372	54.0	1515.0	51.455	1.026	Common
GCST90301979_EFO_0022181	0.286935	0.8835	50593.5	19.5	0.00691476	10.442335982407407	50.5	2081.5	71.5955	1.026	Common
GCST009021_MONDO_0004975	0.2598	0.814	146763.5	37.0	0.0053628700000000005	10.935008796296295	53.5	1766.0	64.318	1.0692	Common
GCST90029070_EFO_0004458	0.13556	0.629	91080.0	17.0	0.0478068	14.195096767592592	53.0	1859.5	58.81	1.0485	Common
GCST90132903_EFO_0006335	0.058285	0.5994999999999999	134592.0	16.0	0.04729885	11.786782563888888	53.0	2053.0	72.5675	1.059	Common
GCST90134519_EFO_0007805	0.35284499999999996	0.748	85840.0	15.5	0.0191524	13.397758055555556	54.0	1784.0	61.4435	1.0853333333333335	Common
GCST005020_EFO_0008418	-0.12483	0.665	460531.0	7.0	0.0604037	7.11417018333333	43.0	1390.0	47.51349999999999	1.138	Common
GCST90018796_EFO_0000275	-0.24906	0.7	119484.0	15.0	0.04463855	11.1766225462963	51.0	1929.0	56.667	1.05325	Common
GCST90448623_EFO_0010968	0.51034	0.9275	80527.5	30.0	0.009515495	13.385665833333334	54.0	2058.5	65.44	1.0255	Common
GCST90269614_EFO_0022156	0.12791	0.705	36903.0	20.0	0.02143585	11.262061187037038	51.0	1938.0	63.367	1.026	Common
GCST90302077_EFO_0022304	0.063051	0.883	50141.0	17.0	0.00816304	5.453577594444443	39.0	1848.0	54.131	1.026	Common
GCST90018638_EFO_1001513	-0.61782	1.853	18883.0	27.0	0.00280726	20.688218601851847	46.0	1069.0	8.1203	0.1515	Common
GCST004139_MONDO_0004985	0.547295	0.5175000000000001	145621.0	13.5	0.062139349999999996	9.15355637962963	52.5	2966.5	104.362	1.0386923076923076	Common
GCST007234_EFO_0003894	-1.391515	1.014	45369.0	7.0	0.013560325	11.71253585277778	44.0	1900.0	54.7525	1.109	Common
GCST90448632_EFO_0004536	-0.27967	0.9219999999999999	31051.0	6.0	0.007962125	11.922184774999998	33.5	1211.0	40.5815	0.8322499999999999	Common
GCST90269733_EFO_0022248	0.052906	0.71	65542.0	16.0	0.0271644	13.120146296296296	53.0	1593.0	62.059	1.026	Common
GCST90025987_EFO_0004842	-0.50348	0.8725	28775.0	19.5	0.00936314	6.31321826388889	38.0	2349.0	50.4525	1.0190000000000001	Common
GCST008832_EFO_0003948	0.13241999999999998	0.6120000000000001	427440.5	18.5	0.02690085	7.843159576851852	52.5	2023.5	96.017	1.044	Common
GCST90025982_EFO_0009270	0.000696	1.096	102548.0	15.0	0.0130307	7.971233333333332	45.0	1398.0	44.404	1.026	Common
GCST90002361_EFO_0004309	0.20933	0.655	92513.5	16.0	0.041076	13.883884999999996	54.0	1581.0	53.150999999999996	1.0676666666666668	Common
GCST004744_EFO_0000571	-0.242245	0.8255	101779.5	15.0	0.021733950000000002	8.742869934259257	48.5	1373.0	43.041	1.0545	Common
GCST010097_EFO_0004698	0.070235	0.352	140417.0	18.0	0.120195	14.864296481481476	52.0	1158.0	46.026	1.134	Common
GCST90132905_EFO_0005763	0.10922	0.666	127608.0	15.0	0.0394225	9.867134353703698	52.0	1935.0	64.594	1.059	Common
GCST90397906_MONDO_0019338	-0.025904	0.728	188694.0	16.0	0.0269771	12.81203107037037	53.0	1246.0	34.451	1.0696666666666668	Common
GCST004346_EFO_0000676	0.081989	1.1604999999999999	21514.5	18.5	0.0109807	13.984092962962961	54.0	854.5	17.3185	0.9715	Common
GCST90269688_EFO_0022250	0.06734485	1.1175	42594.0	24.5	0.001925145	10.623640862037039	44.0	1496.0	52.415	0.949	Common
GCST007692_EFO_0000341	0.09810300000000001	0.7164999999999999	144397.5	14.0	0.021631	10.166753764814814	53.0	1675.5	57.388999999999996	1.040375	Common
GCST90269633_EFO_0022319	-0.28252	0.602	107667.0	26.0	0.0364149	15.43998074074074	54.0	2115.0	74.485	1.026	Common
GCST90269616_EFO_0022231	0.1102205	1.037	40616.0	21.5	0.00768025	9.776087682407407	42.5	1701.5	60.332499999999996	1.026	Common
GCST010098_MONDO_0007254	0.13148	0.468	189226.0	19.0	0.0961432	8.55457924074074	52.0	2202.0	88.484	1.026	Common
GCST90011819_EFO_0005952	0.78949	0.954	78218.0	5.0	0.00243776	9.715105368518518	36.0	966.0	42.044	0.92925	Common
GCST90269719_EFO_0022283	-0.34716	0.658	46633.0	17.0	0.0391555	16.596672407407407	53.0	1672.0	62.059	1.0382	Common
GCST90092993_EFO_0005058	0.306585	0.671	81240.5	14.0	0.026052199999999998	5.201668645833333	25.5	1348.5	48.213499999999996	1.126675	Common
GCST90010423_EFO_1001178	0.51228	0.412	232606.0	14.0	0.0772217	17.442299000000006	53.0	1608.0	88.063	1.049	Common
GCST90018942_EFO_0004533	0.1797	0.723	93234.0	16.0	0.0260443	12.974516759259258	53.0	1589.0	52.195	1.055	Common
GCST90002399_EFO_0007990	0.124145	0.6835	78978.0	15.0	0.0401311	11.476458690740742	53.0	1626.0	53.131	1.026	Common
GCST011349_EFO_0004532	0.017838	0.695	76719.0	20.0	0.0258164	9.33465222222222	52.0	1978.0	63.784	1.026	Common
GCST90129575_EFO_0004213	0.1934325	0.5925	136731.0	18.0	0.0373198	11.918197370370372	53.0	2270.0	61.6395	1.026	Common
GCST90018968_EFO_0004833	0.012517	0.685	93114.5	15.0	0.0445546	10.97747074074074	54.0	1641.0	50.699	1.0547857142857142	Common
GCST90301363_EFO_0000537	-0.18254	0.817	236371.0	12.0	0.0274534	3.404817825925928	36.0	1978.0	55.457	1.11	Common
GCST003720_MONDO_0005277	-0.0623123	0.5185	149287.5	13.5	0.044400300000000004	12.173999550925926	48.0	1744.0	60.471000000000004	1.1087222222222222	Common
GCST90027053_EFO_0000095	-0.03937	0.9515	81821.0	11.5	0.006237090000000001	6.27126545462963	39.0	1452.5	46.944	1.0516874999999999	Common
GCST90013664_EFO_0004736	0.12243	0.787	56653.5	16.5	0.016406900000000002	13.676311324074074	53.0	1399.5	43.854	1.026	Common
GCST90269670_EFO_0022311	0.16914049999999997	0.988	24383.5	14.5	0.0024405299999999998	4.137311801851853	23.5	1617.5	54.973	0.951	Common
GCST009734_EFO_0006927	-0.079891	1.473	105883.0	4.0	0.000887905	5.260971333333334	50.0	603.0	26.844	0.595	Common
GCST90276153_MONDO_0018076	-0.061795	0.7605	316036.0	18.0	0.021374	7.861684074074074	52.0	2084.0	80.7625	1.1284999999999998	Common
GCST000504_EFO_0004527	-0.6157480000000001	0.8245	68625.0	12.0	0.020989405	20.880102962962958	54.0	1156.0	36.579	1.0660833333333333	Common
GCST007069_OBA_2045260	0.10891	0.693	90278.5	16.0	0.037203	13.132303055555553	53.0	1745.5	62.396	1.0648636363636363	Common
GCST90091512_EFO_0008589	-1.17325	0.8325	17130.0	33.5	0.037531060000000005	10.054669581481482	41.0	1327.5	44.9755	0.9790000000000001	Common
GCST90086087_HP_0000023	-0.85634	0.373	58172.0	19.0	0.153094	9.961666111111114	52.0	1482.0	64.423	1.128	Common
GCST90002296_EFO_0005090	0.15551	0.81	76999.5	16.0	0.0231887	10.588942685185186	53.0	1310.0	44.837	1.026	Common
GCST003566_MONDO_0005301	-0.12612665	0.726	56505.0	15.0	0.0268619	9.902646111111112	53.0	1310.5	42.98950000000001	1.0394999999999999	Common
GCST90239620_OBA_2045260	0.066422	0.6	74374.0	19.0	0.0490796	8.705680740740743	54.0	1461.0	58.93	1.026	Common
GCST90269698_EFO_0022256	0.03160835	1.1175	44032.5	20.0	0.00576726	12.149035121296297	49.5	1662.0	57.2375	0.9464583333333334	Common
GCST90302017_EFO_0022319	0.14100485	0.885	47316.5	18.0	0.005696985	9.52927289537037	50.0	1614.5	58.686499999999995	1.0185	Common
GCST90269651_EFO_0022229	0.16528500000000002	0.749	63191.0	17.0	0.01824675	11.709219518518518	52.0	1509.5	56.2575	1.026	Common
GCST90449063_EFO_0000712	0.276945	0.667	73961.5	14.5	0.0713205	30.346109814814803	54.0	1483.5	42.641	1.1132499999999999	Common
GCST90302150_EFO_0022231	0.41420500000000005	0.7945	43568.0	19.5	0.01372241	10.348998100000001	50.5	1950.0	61.781499999999994	1.026	Common
GCST90027159_EFO_0003106	-0.234347	0.4175	111834.0	18.0	0.107157	8.29302267592593	50.0	1788.5	58.7645	1.09025	Common
GCST90269618_EFO_0022275	0.12791	0.815	36903.0	22.0	0.024453950000000002	9.942770355555556	51.0	1938.0	62.059	1.026	Common
GCST90269700_EFO_0022338	-0.13786	1.091	43048.0	17.0	0.004765195	14.073845925925925	47.0	1878.0	68.517	1.008	Common
GCST011102_MONDO_0004985	0.31494	0.479	92804.5	14.0	0.1410275	9.26463699259259	51.0	2434.5	93.1865	1.1348749999999999	Common
GCST011768_MONDO_0005090	0.63988	0.479	573842.0	13.0	0.0546503	2.83040653962963	39.0	2532.0	86.646	1.138	Common
GCST90100587_MONDO_0005148	-3.8119	0.366	144383.0	11.0	0.106746	12.735483314814813	40.0	3535.0	137.86	1.026	Common
GCST90027161_EFO_0000274	-0.18189	0.763	64257.0	13.0	0.017296	7.771570555555559	52.0	1317.0	49.867	1.026	Common
GCST004142_EFO_0000756	-0.5122	0.924	114662.0	19.0	0.00657782	7.429040740740741	53.0	1278.0	53.605	1.026	Common
GCST003255_EFO_0007778	-0.089855	0.763	160046.0	13.0	0.0196847	12.201762555555554	41.0	3022.0	72.886	1.026	Common
GCST90018576_EFO_0000275	-1.379425	0.9525	75545.0	22.0	0.0322743	17.251082074074077	48.0	2409.0	88.975	1.1315	Common
GCST90302025_EFO_0022175	-0.34716	0.884	132793.0	16.0	0.0176376	9.31632037037037	52.0	1446.0	54.131	1.011	Common
GCST007833_MONDO_0024647	0.26774	0.7415	42188.0	23.5	0.0250192	5.621080666666666	51.5	1816.5	60.099000000000004	1.0246875	Common
GCST000320_EFO_0004262	-0.201355	0.579	194217.0	21.0	0.0390986	11.568979618518519	22.5	2484.5	79.301	1.054	Common
GCST90091726_EFO_0010815	-0.11755000000000002	0.945	29365.5	46.0	0.008985130000000001	32.12415208333334	54.0	1404.0	51.799	1.093	Common
GCST002233_EFO_0004502	-1.7229	0.298	205229.0	11.0	0.262411	14.073845925925925	54.0	1332.0	53.238	1.0382	Common
GCST90013707_EFO_0004269	-0.2399	0.675	133807.0	24.0	0.109107	8.648604509259256	42.0	1929.0	70.232	1.026	Common
GCST90025973_EFO_0004570	0.088836	0.8385	31030.0	23.5	0.00879259	2.144941348148148	6.5	1563.5	50.716	1.0255	Common
