	MisSyn	pli	Length	GO	sHet	mrna	n_mrna	CDS	lof	phy	Set
GCST90018946_EFO_0005090	-0.18111	0.7424999999999999	83751.0	16.0	0.0407742	11.4398747037037	54.0	1376.0	39.4405	1.026	Common
GCST010991_MONDO_0005180	-0.022116	0.762	96887.5	20.5	0.0314243	10.314868953703705	52.0	1648.5	57.272999999999996	1.0445	Common
GCST90399695_EFO_0000341	-0.2321375	0.8565	47693.5	20.0	0.0141719	9.293901350925928	47.0	1266.5	44.197500000000005	0.9814285714285713	Common
GCST000157_EFO_0001060	-0.016361	0.765	156191.0	19.0	0.0153643	18.656748518518523	53.0	1728.0	59.145	1.026	Common
GCST005005_EFO_0008406	0.506065	0.87	48027.0	10.0	0.0121182	4.854689799999999	41.5	1832.0	48.203500000000005	1.0657	Common
GCST90092806_EFO_0009765	-0.028909	0.883	73485.0	13.0	0.0188888	8.976720531481483	51.0	1262.0	46.363	1.096	Common
GCST90010729_EFO_0009767	0.34736	1.09	95807.0	20.0	0.009270425	19.329624629629627	52.0	1315.0	48.555	1.135	Common
GCST90269690_EFO_0022332	-0.29012	1.134	42746.0	24.0	0.005135465	19.64230615	48.0	1446.0	49.467	0.932	Common
GCST90025996_EFO_0007788	-2.5147	1.201	34711.0	20.0	0.00111347	10.823700259259258	47.0	1569.0	40.521	1.026	Common
GCST90018957_EFO_0004509	0.13227	0.591	117072.0	17.0	0.0502817	11.092227777777778	53.0	1867.0	62.997	1.081	Common
GCST90302156_EFO_0022156	0.27523	0.884	50141.0	17.0	0.00710639	11.262061187037038	47.0	1878.0	58.606	1.015	Common
GCST90269689_EFO_0022281	-0.081105	0.8565	53842.5	21.0	0.00980722	25.941957037037028	52.5	1471.0	60.0085	1.0106000000000002	Common
GCST90102601_HP_0002619	0.019919000000000003	0.635	206135.5	11.5	0.02415605	18.341805796296292	45.5	1715.0	69.22	1.1026333333333334	Common
GCST010681_MONDO_0005147	-0.064469	0.5225	180204.5	24.0	0.0414548	28.703170592592585	53.0	2281.5	91.518	1.1357499999999998	Common
GCST006479_EFO_0009959	-0.12651	0.753	100783.0	14.0	0.0327602	10.64061385	51.0	1335.0	41.607	1.05975	Common
GCST90018807_EFO_0000341	-0.073825	0.9339999999999999	115928.5	12.0	0.00348911	9.636507425925924	51.5	1806.5	70.9655	1.0190000000000001	Common
GCST007432_EFO_0004314	0.021531	0.722	149833.0	13.5	0.02772545	10.18868021296296	53.0	1674.0	53.649	1.103	Common
GCST90019523_EFO_0004530	0.13389500000000001	0.763	42897.0	16.0	0.0181717	14.814932725925924	54.0	1507.0	53.799	1.026	Common
GCST002127_EFO_0000649	-0.040899	0.745	122392.0	12.5	0.0419412	6.033743175925924	43.0	1713.5	30.988	1.1366	Common
GCST009798_MONDO_0004979	0.007228500000000002	0.7795000000000001	87691.0	21.0	0.0207166	12.324791074074074	53.0	1356.0	43.885999999999996	1.026	Common
GCST90277982_EFO_0004242	0.064349	0.834	50584.0	9.0	0.0118479	13.20134937037037	38.0	1122.0	30.561	0.63825	Common
GCST90095184_EFO_0002496	-0.519825	0.831	116273.0	16.5	0.04731955	12.728715814814816	52.0	1413.0	53.629999999999995	1.055388888888889	Common
GCST90134619_EFO_1000860	0.37229	0.637	244851.0	12.0	0.0237991	7.1261425129629625	53.0	1994.0	69.279	0.9775555555555556	Common
GCST90018868_HP_0000023	-0.210495	0.6735	86185.5	11.5	0.0168856	9.608487408333328	43.0	1482.0	67.983	1.138	Common
GCST90103985_EFO_0000341	-0.01201000000000002	0.7424999999999999	187857.0	14.5	0.0144264	11.453028037037033	52.5	1746.0	69.22200000000001	1.026	Common
GCST012125_HP_0012532	0.41731	0.571	291614.0	14.0	0.0538512	3.789673155555556	36.0	1820.0	75.865	1.138	Common
GCST001267_EFO_0000756	-0.68529	0.997	75338.5	18.0	0.00725854	8.808612027777778	53.0	1434.5	61.36449999999999	1.026	Common
GCST005356_EFO_0001068	-0.762635	0.4815	303642.0	10.0	0.074179	2.2095096329629635	21.0	1513.5	50.319	1.025	Common
GCST008169_EFO_0000284	0.42547	0.41600000000000004	136491.0	20.0	0.084564	7.493158255555554	33.5	1602.5	48.367999999999995	1.0935	Common
GCST90018839_EFO_0001065	0.4564	0.694	127176.0	5.0	0.024185	3.2577088796296296	22.0	2152.0	73.767	1.023	Common
GCST90302095_EFO_0022271	0.16623	0.774	44447.0	19.0	0.0206853	12.28416823148148	53.0	1748.0	60.0085	1.026	Common
GCST90449022_MONDO_0001627	0.057916	0.714	158239.0	14.0	0.0271162	9.14628365925926	50.0	1779.0	66.176	1.0731111111111111	Common
GCST001463_EFO_0004502	-1.1511399999999998	0.343	203759.5	17.5	0.1577985	14.267142407407409	54.0	1502.0	64.83	1.0601	Common
GCST90269779_EFO_1000391	0.41189	0.639	66995.0	20.0	0.0955846	13.739897170370371	54.0	1515.0	43.299	1.138	Common
GCST90449059_EFO_0001645	-0.111737	0.5994999999999999	97641.0	23.5	0.0393248	14.496636944444447	52.5	2059.5	70.122	1.0335999999999999	Common
GCST90269619_EFO_0022144	0.279015	0.5660000000000001	77592.0	17.0	0.047771	17.477374722222223	53.5	1585.0	58.747	1.037	Common
GCST008057_HP_0002619	-0.752475	0.3545	132978.5	21.5	0.13765300000000003	13.122051703703704	52.5	3247.5	92.2355	1.1179999999999999	Common
GCST90092819_EFO_0004468	0.199435	0.862	107884.0	20.5	0.0278404	13.610349740740741	53.0	1772.5	68.452	1.026	Common
GCST001017_EFO_0003770	0.38042	0.556	314938.0	16.0	0.05504	7.155745459074073	50.0	1166.0	46.666	1.026	Common
GCST011488_EFO_0001645	-0.12382	0.761	140537.0	19.0	0.0121027	6.418603896296297	53.0	1553.0	61.491	1.134	Common
GCST90455676_EFO_0004274	0.12284	0.669	99065.0	16.0	0.0360925	9.245038809259258	52.0	1566.0	54.73	1.059	Common
GCST000692_EFO_0004208	0.083924	0.904	35078.0	15.0	0.00310837	28.314147777777773	54.0	2015.0	100.57	1.016	Common
GCST000764_MONDO_0018076	0.09841449999999999	0.641	196005.5	12.0	0.06360964999999999	9.563978186111111	51.5	2074.5	61.6095	1.108	Common
GCST90013534_EFO_0000685	0.185195	0.655	83906.5	20.5	0.03199675	9.294378888888893	53.0	1260.5	45.129000000000005	1.0394999999999999	Common
GCST90278638_EFO_0004611	0.230315	0.8645	71865.0	17.5	0.012987410000000001	9.012080398148147	51.5	1429.5	43.0945	1.026	Common
GCST90271316_EFO_0000668	0.54802	0.822	54273.0	15.0	0.0140373	6.112772074074074	48.0	2142.0	86.561	1.040375	Common
GCST012101_EFO_0000538	0.28026	0.595	362091.0	29.0	0.0290491	15.853969444444449	54.0	1728.0	40.707	1.1267999999999998	Common
GCST90010722_EFO_0009765	0.0050274	0.993	39745.0	17.0	0.00980722	8.181534814814816	53.0	1380.0	52.196	1.026	Common
GCST004132_EFO_0000384	0.19334	0.769	80810.0	16.0	0.0153643	7.564260185185185	53.0	1441.0	52.708	1.0633333333333337	Common
GCST006423_EFO_0003931	0.19319	0.525	136684.0	18.0	0.0840017	8.804399529629633	53.0	1515.0	46.252	1.127	Common
GCST001509_EFO_0004208	0.224485	0.642	123242.5	18.5	0.0645378	14.83221388888889	53.5	2566.0	83.08500000000001	1.0254	Common
