Entrez	P-value
348	0.0
1071	4.22e-93
51085	3.82e-87
255738	2.0600000000000003e-73
11183	7.04e-60
8882	8.57e-53
116519	4.63e-52
23624	7.17e-52
84811	1.49e-50
337	5.04e-38
338	3.2800000000000003e-37
23460	6.260000000000001e-35
5049	5.04e-33
51129	2.07e-31
5817	1.66e-30
345	2.57e-29
3949	1.67e-28
4018	4.5e-27
146894	1.89e-26
11321	2.68e-26
84226	2.69e-26
221037	4.26e-25
23461	2.08e-21
8890	8.44e-21
26160	1.32e-20
350	3.45e-19
23173	2.21e-18
64241	2.1e-16
78992	1.31e-15
6580	4.98e-15
64240	7.77e-15
343263	1.21e-14
728780	1.79e-14
10087	3.17e-14
84277	3.96e-14
113201	4.52e-14
94137	7.96e-14
169436	8.62e-13
9919	2.15e-12
125931	6.16e-12
57159	6.11e-11
83650	7.44e-11
256006	8.07e-11
161497	1.33e-10
23203	1.72e-10
25764	2.01e-10
125	2.66e-10
5140	7.18e-10
2923	1.08e-09
80237	1.3e-09
117155	1.37e-09
6621	1.51e-09
134359	2.42e-09
1952	2.45e-09
2696	2.47e-09
83706	3.04e-09
6494	5.05e-09
8884	6.42e-09
3837	8.48e-09
353355	9.61e-09
5729	2.23e-07
7772	6.39e-07
