Entrez	Gene Symbol	Ensembl ID	P-value
675	BRCA2	ENSG00000139618	3.31e-34
672	BRCA1	ENSG00000012048	5.72e-29
11200	CHEK2	ENSG00000183765	5.37e-15
79728	PALB2	ENSG00000083093	3.3e-12
472	ATM	ENSG00000149311	4e-06
230	ALDOC	ENSG00000109107	1.46e-05
3009	H1-5	ENSG00000184357	2.64e-05
766	CA7	ENSG00000168748	3.45e-05
51512	GTSE1	ENSG00000075218	4.12e-05
91664	ZNF845	ENSG00000213799	4.72e-05
1293	COL6A3	ENSG00000163359	5.12e-05
9933	PUM3	ENSG00000080608	5.18e-05
4302	MLLT6	ENSG00000275851	7.63e-05
343169	OR6F1	ENSG00000169214	8.02e-05
25939	SAMHD1	ENSG00000101347	8.66e-05
4311	MME	ENSG00000196549	9.08e-05
27336	HTATSF1	ENSG00000102241	9.11e-05
