Entrez	P-value
5781	0.0
8809	6e-305
861	5e-159
23274	4e-120
10865	4e-118
10767	2e-114
728294	6e-94
596	9e-91
80762	5e-90
1021	3e-78
2029	9e-72
1902	3e-65
8061	4e-62
54518	2e-61
2308	5e-59
23185	1e-58
8328	9e-55
2720	2e-52
55770	3e-52
51676	3e-50
8794	7.999999999999999e-50
3566	3e-49
5468	1e-48
161882	8e-44
5728	4e-43
22834	6e-41
55809	2.9999999999999998e-40
4026	2e-37
337867	2e-37
59269	3e-37
81858	5.0000000000000005e-37
6821	9e-37
23308	2e-36
23526	4e-36
57511	8e-36
6778	4e-35
3635	5e-35
3716	2.0000000000000003e-34
4345	5e-34
4088	1e-33
10320	4e-33
2687	8e-33
151056	1.9999999999999998e-32
50514	3e-32
11180	2e-31
79890	7.0000000000000015e-31
549	1.9999999999999997e-28
343099	5e-28
5293	8e-27
9683	9.999999999999999e-27
9415	3.9999999999999996e-26
940	4.9999999999999996e-26
84969	4.9999999999999996e-26
3656	3e-24
29015	2.0000000000000002e-23
1859	2.0000000000000002e-23
651746	1e-22
196	1e-22
10318	1e-22
84166	2e-22
23765	2e-22
5465	5e-22
11262	1e-21
200734	2e-21
7090	2e-21
115727	3e-21
10636	4e-21
10301	4e-21
3663	5e-21
6238	8e-21
146198	9e-21
54931	2e-20
121665	3e-20
9919	3e-20
3559	6e-20
124540	8e-20
23228	2e-19
85451	3e-19
4790	5e-19
6095	6e-19
5770	6e-18
7132	7e-18
55582	8e-18
55196	8e-18
581	1e-17
919	2e-17
80714	2e-17
10219	2e-17
29091	3e-17
8778	3e-17
28960	4e-17
4087	8e-17
23165	3e-16
4217	3e-16
64123	3e-16
3146	4e-16
846	5e-16
3026	6e-16
2078	6e-16
387893	6e-16
4092	9e-16
1373	1e-15
1912	2e-15
55294	2e-15
57149	4e-15
9474	4e-15
23092	4e-15
5889	5e-15
80305	7e-15
56952	8e-15
5915	9e-15
55843	1e-14
7158	1e-14
83605	2e-14
2207	3e-14
10666	3e-14
23786	4e-14
5913	4e-14
1523	4e-14
115701	5e-14
26093	8e-14
5331	1e-13
4982	1e-13
4149	1e-13
100506736	2e-13
5452	2e-13
5771	3e-13
1029	3e-13
56829	3e-13
286827	5e-13
402569	7e-13
4676	8e-13
55107	8e-13
1043	8e-13
3937	1e-12
26094	1e-12
101928243	2e-12
51174	2e-12
8440	3e-12
5450	5e-12
53347	6e-12
54464	7e-12
222194	7e-12
23108	8e-12
23533	9e-12
4773	9e-12
2185	1e-11
54491	1e-11
2677	1e-11
3706	1e-11
10077	2e-11
54796	3e-11
10616	3e-11
63892	3e-11
3707	4e-11
57567	4e-11
3097	4e-11
137682	4e-11
4194	4e-11
200424	4e-11
51684	4e-11
3578	5e-11
92285	6e-11
29949	6e-11
6504	7e-11
373509	1e-10
4005	1e-10
5151	1e-10
145282	1e-10
2859	2e-10
1359	2e-10
5922	2e-10
5337	2e-10
55746	2e-10
113263	3e-10
23026	4e-10
222255	7e-10
282809	9e-10
