Entrez	Gene Symbol	Ensembl ID	P-value
910	CD1B	ENSG00000158485	4.14e-06
494115	RBMXL1	ENSG00000213516	6.46e-06
25927	CNRIP1	ENSG00000119865	2.17e-05
170960	ZNF721	ENSG00000182903	3.07e-05
164118	TTC24	ENSG00000187862	3.1e-05
10979	FERMT2	ENSG00000073712	3.56e-05
388419	BTBD17	ENSG00000204347	3.95e-05
22980	TCF25	ENSG00000141002	4.67e-05
3945	LDHB	ENSG00000111716	5.78e-05
84196	USP48	ENSG00000090686	5.78e-05
284723	SLC25A34	ENSG00000162461	6.45e-05
7739	ZNF185	ENSG00000147394	6.6e-05
142680	SLC34A3	ENSG00000198569	6.93e-05
51764	GNG13	ENSG00000127588	7.16e-05
9910	RABGAP1L	ENSG00000152061	7.33e-05
23307	FKBP15	ENSG00000119321	8.71e-05
83856	FSD1L	ENSG00000106701	9.06e-05
