Entrez	Gene Symbol	Ensembl ID	P-value
2312	FLG	ENSG00000143631	1.63e-08
9039	UBA3	ENSG00000144744	1.04e-05
11023	VAX1	ENSG00000148704	1.24e-05
1201	CLN3	ENSG00000188603	2.67e-05
5250	SLC25A3	ENSG00000075415	2.87e-05
2923	PDIA3	ENSG00000167004	3.82e-05
57134	MAN1C1	ENSG00000117643	4.62e-05
9124	PDLIM1	ENSG00000107438	4.74e-05
2803	GOLGA4	ENSG00000144674	5.62e-05
6591	SNAI2	ENSG00000019549	5.65e-05
10385	BTN2A2	ENSG00000124508	6.19e-05
6725	SRMS	ENSG00000125508	6.25e-05
479	ATP12A	ENSG00000075673	6.45e-05
