Entrez	P-value
4023	4.1899999999999997e-106
345	3.41e-92
11183	6.92e-86
116519	3.07e-73
8882	2.74e-72
84811	7.140000000000001e-70
335	1.1399999999999998e-68
51085	1.2200000000000001e-58
51129	5.0199999999999997e-54
9031	2.79e-51
4318	5.8e-47
5049	1.39e-37
11321	1.48e-36
337	3.65e-33
90203	3.74e-28
5476	2.6900000000000003e-27
8890	2.7000000000000004e-26
9709	3.1400000000000003e-26
140831	2.17e-25
26160	8.15e-25
146894	9.14e-25
23173	5.8999999999999995e-24
3931	2.58e-23
8567	3.61e-18
10062	3.96e-18
53	5.23e-17
90199	1.61e-16
5360	3.26e-16
22837	3.29e-16
5140	4.27e-16
280664	2.12e-15
1506	2.14e-15
57159	2.96e-15
53345	6.95e-15
6559	8.74e-15
113201	9.44e-15
27329	3.72e-14
259240	4.36e-14
10005	5.87e-14
8884	8.73e-13
949	9.92e-13
123904	1.04e-12
6560	1.09e-12
63925	1.99e-12
79797	2.39e-12
83706	3.21e-12
10816	5.17e-12
2147	5.25e-12
587	8.17e-12
5331	1.16e-11
3172	1.24e-11
391253	1.26e-11
345275	2.07e-11
4038	4.46e-11
338	6.63e-11
2696	8.77e-11
54920	1.24e-10
80212	1.38e-10
4775	1.66e-10
10019	1.74e-10
57468	2.41e-10
4018	2.67e-10
5913	5.18e-10
255738	5.34e-10
140686	6.51e-10
23624	1.21e-09
4299	1.62e-09
1463	1.63e-09
84277	2.4e-09
161497	4.95e-09
25764	5.55e-09
84138	7.1e-09
6633	7.11e-09
5817	9.15e-09
19	2.56e-08
