Entrez	Gene Symbol	Ensembl ID	P-value
23258	DENND5A	ENSG00000184014	2.22e-05
54931	TRMT10C	ENSG00000174173	2.44e-05
92935	MARS2	ENSG00000247626	3.11e-05
29979	UBQLN1	ENSG00000135018	3.32e-05
57722	IGDCC4	ENSG00000103742	3.97e-05
390264	OR10G4	ENSG00000254737	4.6e-05
165829	GPR156	ENSG00000175697	5.12e-05
126231	ZNF573	ENSG00000189144	5.42e-05
8220	ESS2	ENSG00000100056	5.45e-05
2492	FSHR	ENSG00000170820	8.3e-05
