Entrez	Gene Symbol	Ensembl ID	P-value
80781	COL18A1	ENSG00000182871	2.38e-13
11064	CNTRL	ENSG00000119397	1.36e-11
7267	TTC3	ENSG00000182670	1.13e-08
114294	LACTB	ENSG00000103642	1.81e-08
9790	BMS1	ENSG00000165733	3.08e-08
57508	INTS2	ENSG00000108506	5.64e-08
2862	MLNR	ENSG00000102539	1.07e-07
27151	CPAMD8	ENSG00000160111	2.24e-07
8785	MATN4	ENSG00000124159	2.75e-07
55231	CCDC87	ENSG00000182791	1.16e-06
266629	SEC14L3	ENSG00000100012	1.71e-06
118980	SFXN2	ENSG00000156398	3.03e-06
25953	PNKD	ENSG00000127838	3.17e-06
4063	LY9	ENSG00000122224	3.46e-06
83854	ANGPTL6	ENSG00000130812	4.01e-06
84964	ALKBH6	ENSG00000239382	8.77e-06
375790	AGRN	ENSG00000188157	1.07e-05
221806	VWDE	ENSG00000146530	1.35e-05
200373	CFAP221	ENSG00000163075	1.47e-05
