Entrez	P-value
57178	4e-33
2859	9.999999999999999e-33
84629	3e-28
6774	9e-28
345611	3e-26
22904	7.000000000000001e-24
5771	7.000000000000001e-24
4088	1e-20
2581	4e-20
283463	6e-20
253461	4e-19
1997	6e-19
3586	9e-19
22806	2e-18
8809	6e-18
3460	2e-17
150962	4e-17
11262	2e-16
2646	2e-16
64167	3e-16
163486	5e-16
8844	2e-14
80762	9e-14
26040	1e-13
55765	1e-13
54901	1e-13
958	1e-13
91869	1e-13
639	2e-13
63892	4e-13
9844	5e-13
64116	7e-13
9516	2e-12
3676	2e-12
81619	9e-12
4026	2e-11
5334	3e-11
51174	4e-11
375686	6e-11
84870	6e-11
6203	7e-11
5788	9e-11
27	2e-10
1810	2e-10
283450	3e-10
1611	4e-10
9180	5e-10
3083	6e-10
221895	7e-10
3559	8e-10
28	1e-09
7297	1e-09
60468	2e-09
84072	4e-09
150280	6e-09
374900	6e-09
143162	7e-09
128611	7e-09
1398	2e-08
81704	2e-08
6097	3e-08
8454	3e-08
30008	3e-08
253430	4e-08
441151	4e-08
79705	5e-08
285761	8e-08
55612	1e-07
1788	2e-07
7048	2e-07
896	3e-07
7109	4e-07
56833	4e-07
8935	5e-07
337867	5e-07
79899	6e-07
57222	7e-07
91937	7e-07
50939	8e-07
6095	9e-07
79934	9e-07
81669	9e-07
5163	1e-06
79722	1e-06
3685	2e-06
399818	2e-06
23347	3e-06
63027	4e-06
2185	5e-06
23051	5e-06
923	6e-06
7099	6e-06
22862	7e-06
27086	7e-06
5321	7e-06
940	7e-06
9749	8e-06
