Entrez	P-value
1071	1.83e-299
9388	2.46e-76
4023	1.74e-69
345	1.3e-55
348	1.09e-48
55908	1.08e-34
338	1.18e-33
23387	1.46e-32
146894	3.52e-30
51129	2.9300000000000003e-26
949	3.3400000000000003e-26
19	7.37e-26
9709	1.09e-25
335	8.85e-25
27329	2.38e-23
5049	6.02e-21
3990	8.12e-20
3172	1.46e-18
57678	1.56e-17
337	8.04e-17
326625	2.69e-16
89910	2.9e-16
11183	1.75e-15
6559	2.29e-15
150223	1.57e-13
283446	5.22e-12
7448	6.31e-12
23788	1.21e-11
64116	1.38e-11
10948	1.39e-10
28983	2.21e-10
3931	4.17e-10
84811	6.76e-10
8567	1.03e-09
284110	1.65e-09
754	1.81e-09
80212	3.4e-09
10062	4.41e-09
4318	4.48e-09
4499	6.28e-09
9026	7.23e-09
