Entrez	post_mean	log_post_mean
192134	6.46629e-05	4.189344822060449
348932	0.000160623	3.7941922669160477
283748	0.000169777	3.7701211447731726
148109	0.000175447	3.755854053465017
4058	0.000179864	3.7450557525293036
2524	0.000191924	3.716870713561356
948	0.000199113	3.7009003841516264
54346	0.000201161	3.69645621410598
414332	0.000204516	3.6892727099554543
5891	0.000211708	3.6742627305955615
220082	0.000232833	3.6329554660229233
93035	0.000234335	3.6301628408453754
26301	0.000246946	3.6073980040924183
339766	0.000248049	3.605462519465761
128954	0.000249187	3.603474618415487
51332	0.000256848	3.590323811650158
94160	0.000263136	3.5798197314209332
221223	0.00026547	3.5759845501780108
154664	0.000269063	3.570146019815699
80832	0.000270707	3.5675005140039016
340273	0.000282031	3.549703152712559
79019	0.000286085	3.5435049125128337
9914	0.000293215	3.532813816259434
341392	0.000298231	3.5254472152452183
200010	0.000306672	3.513325874492273
4018	0.000314638	3.5021888271873145
27294	0.00031803	3.4975319107705105
124989	0.000325565	3.4873622902812853
6614	0.000336953	3.472430672612814
85320	0.000347542	3.458992703977369
151056	0.000348546	3.4577398969696365
3115	0.000349844	3.456125570056075
126520	0.000350511	3.4552983481271693
64135	0.000352594	3.4527250822495787
9172	0.000359237	3.444618939075208
345930	0.000367493	3.4347509289344167
284131	0.000370888	3.4307572179469115
10941	0.000373637	3.4275501236084858
3425	0.000373734	3.4274373909362756
89781	0.000378857	3.421524684042669
4481	0.000383452	3.4162889927054105
341883	0.000385938	3.4134824580758645
91662	0.000389133	3.4099019377642534
2028	0.000390314	3.408585870922946
64800	0.000391144	3.4076633272788204
171425	0.00039263	3.4060165199762267
151790	0.000394355	3.404112648413096
200403	0.000394827	3.4035931560275623
733	0.000395216	3.40316548166778
158056	0.000415085	3.381862960514358
64902	0.000415293	3.3816453891092264
80724	0.00041621	3.3806874894952568
54436	0.000416736	3.3801389811217315
344905	0.000419158	3.3776222405330603
43847	0.000421101	3.37561372724759
1244	0.00042178	3.3749140175210677
9389	0.000422393	3.3742832876488738
64714	0.000427743	3.368817088943492
7047	0.00042955	3.366986276628456
92591	0.00042955	3.366986276628456
55784	0.000431211	3.3653101690217633
440822	0.000432202	3.364313227765239
26140	0.000436158	3.360356157295703
10232	0.000436368	3.3601471048595335
79400	0.000437434	3.359087464008674
4319	0.000440816	3.355742650577318
1080	0.000441287	3.3552788663697686
338094	0.000442846	3.353747273727005
140453	0.000442983	3.353612940024913
50636	0.000443204	3.3533963286720265
5858	0.000443412	3.3531925578086694
359710	0.000445028	3.351612663484372
6554	0.000445106	3.351536551416582
148229	0.000446058	3.350608667202124
8749	0.000449097	3.3476598460457185
84033	0.000449734	3.347044278422244
4940	0.000449835	3.3469467567360662
10347	0.000451202	3.345628983964788
142910	0.000452375	3.3445014038837444
327657	0.000453297	3.3436171551697638
6555	0.000455017	3.3419723772587746
6296	0.000455122	3.341872170761081
257169	0.000455454	3.341555479404443
51281	0.000456272	3.3407761817173762
55821	0.000456373	3.340680057281585
57642	0.000456476	3.340582051298502
147968	0.000457143	3.3399479259773464
10753	0.000457863	3.3392644504777147
344805	0.000458389	3.3387658127174125
64772	0.000458669	3.3385006114788616
654463	0.000459039	3.338150415192001
2595	0.000460846	3.3364441776987968
339221	0.000460981	3.336316974317954
168975	0.000461689	3.3356504726358
55336	0.000463461	3.3339868056347255
92291	0.000463667	3.333793812510272
57139	0.000467079	3.330609658272354
8711	0.000467352	3.330355894437608
353497	0.0004681	3.329661358872558
8989	0.000471063	3.3269210064110672
60437	0.000471935	3.326117812987196
168391	0.000473792	3.324412276633911
10786	0.000475494	3.322854958817696
4640	0.000475504	3.3228458253708975
5288	0.000475888	3.322495246240304
3042	0.000476717	3.321739360607991
1543	0.000476855	3.3216136592683525
1638	0.000476942	3.321534431466146
6098	0.000478082	3.3204976073768626
128966610	0.000480069	3.3186963372793534
137902	0.000481953	3.316995312043095
10599	0.000482476	3.316524285070035
256076	0.000482826	3.3162093513491326
130162	0.000483218	3.315856896499768
101929926	0.000483218	3.315856896499768
4312	0.000483793	3.315340419734715
3929	0.000485046	3.3142170725341513
5169	0.000486212	3.3131743267154916
54504	0.000487728	3.31182231126012
284904	0.000487878	3.31168876519173
93594	0.000488556	3.3110856487372584
222256	0.000488603	3.3110438708062047
23078	0.00048869	3.3109665477924817
79092	0.000488817	3.310853698678333
160762	0.000489911	3.3098828091950905
4317	0.000490184	3.3096408685737715
122046	0.000490574	3.309295472753661
91351	0.00049094	3.3089715817286853
43849	0.000491081	3.3088468684641645
28234	0.00049235	3.3077260577445067
2646	0.000496743	3.3038682441633775
11131	0.000496921	3.3037126494782414
127294	0.000497655	3.3030716281634502
50853	0.000498248	3.302554435910379
1562	0.000503069	3.2983724438424913
145497	0.000503654	3.2978677125499516
2515	0.000504766	3.296909905962174
166348	0.000504897	3.296797209790385
113675	0.000508852	3.293408514185279
10699	0.000509876	3.29253542990911
155184	0.000510033	3.292401723403535
25974	0.000510699	3.291834992535897
23324	0.000511369	3.2912656031321488
10351	0.000512556	3.2902586782481027
64127	0.000512573	3.290244274195163
54677	0.000512748	3.2900960249443014
2267	0.00051467	3.288471145940959
94120	0.000515023	3.2881733757160125
9940	0.000516701	3.2867606979394135
6403	0.000516723	3.28674220702261
2160	0.000517385	3.2861861664808214
116447	0.000517612	3.285995663805021
55567	0.000517704	3.285918479462385
255189	0.000518325	3.285397843639331
85477	0.000518412	3.2853249541408096
131873	0.000518577	3.2851867490294366
145264	0.000519128	3.2847255461210616
8532	0.000520061	3.2839457132696968
155465	0.00052238	3.282013458945676
133558	0.000523914	3.280739996204641
64167	0.000524386	3.280348911573695
23491	0.00052538	3.2795264638205266
142685	0.000526041	3.2789804053142624
91156	0.000526285	3.2787790079231813
145447	0.000526972	3.278212459870086
57834	0.000528021	3.2773488047336925
26166	0.000528319	3.2771037704473067
1775	0.000529146	3.2764244825091584
84795	0.000530592	3.2752393023786563
7226	0.00053151	3.2744885601078266
89932	0.000533594	3.2727890624901987
10863	0.00053608	3.270770395072142
4013	0.000536214	3.270661851219657
151649	0.000536551	3.2703889913757664
153643	0.000536603	3.2703469036361192
134526	0.000537347	3.269745171439598
83756	0.000540492	3.2672107297986774
79767	0.000540697	3.2670460400545958
8942	0.000541156	3.2666775220042608
255239	0.000541478	3.2664191838635848
283446	0.000541551	3.2663606378833254
2875	0.000542002	3.265999110901906
316	0.000542068	3.265946229748768
29070	0.000543077	3.2651385897402383
10004	0.000543398	3.2648819643549376
4314	0.000543715	3.264628685524374
112937	0.000543923	3.2644625764819586
80833	0.000544307	3.264156080450839
135644	0.000544445	3.264045986253403
6569	0.000545922	3.2628694037961044
8288	0.000546076	3.2627469102555366
9390	0.000546437	3.2624599016548643
284427	0.000547227	3.2618324828125576
55301	0.000548201	3.2610601765781952
283870	0.000549241	3.260237050806835
10964	0.000549722	3.2598568821221114
286436	0.000550778	3.2590234153094837
11199	0.000551852	3.258177379157606
9626	0.000552059	3.258014505594778
80017	0.000552258	3.257857984228478
56171	0.000553348	3.2570016554121635
203074	0.000553833	3.256621170492
391365	0.000554597	3.2560224839953906
85329	0.000554614	3.25600917181909
256329	0.000554776	3.255882335077154
256710	0.000555062	3.255658503807052
2330	0.000555334	3.2554457362872835
245972	0.000555772	3.255103336924978
4225	0.000556192	3.254775262111273
9153	0.000556542	3.254502055624046
5319	0.00055683	3.254277374540674
150084	0.000557711	3.253590789626802
27283	0.000557745	3.2535643143334885
5746	0.000557786	3.2535323903909608
85413	0.000558334	3.2531059247865324
51314	0.000558384	3.253067034531142
64927	0.000559039	3.2525578935554744
100526794	0.000559433	3.252251918916954
56833	0.000561289	3.250813468890451
116255	0.000562818	3.2496320214439964
155185	0.000563203	3.2493350405137145
89777	0.000563345	3.2492255559347054
5470	0.000564068	3.248668537426918
51378	0.000564489	3.248344516601452
10249	0.000565539	3.247537440427704
8735	0.000565542	3.24753513664319
12	0.000565781	3.2473516410672687
113655	0.000565897	3.24726260839176
4308	0.000566202	3.247028600906222
8528	0.000567102	3.246338821083897
55	0.000567209	3.246256886747191
255104	0.00056725	3.2462254954430265
54848	0.000567283	3.2462002309193734
64080	0.000567933	3.2457028957090053
54970	0.000568262	3.2454513845009125
90019	0.000570597	3.2436705160418424
10747	0.000571204	3.2432087599646464
6580	0.000571752	3.2427923075477207
29952	0.000573136	3.241742311642904
54932	0.000573263	3.241646087903303
377841	0.000576418	3.239262465785501
58488	0.000576705	3.2390462832639835
146167	0.000576752	3.2390108908034745
225689	0.000577192	3.2386796969477962
3681	0.00057882	3.237456471092091
134145	0.000579234	3.237145953753232
390916	0.000579633	3.2368468969932644
28968	0.00058034	3.236317494607645
10344	0.00058077	3.23599582545355
6568	0.000580774	3.2359928343005198
51171	0.000582949	3.234369438358337
51205	0.000582986	3.2343418743932175
1557	0.00058356	3.2339144843841976
340267	0.00058375	3.2337731064258315
126433	0.000583875	3.233680119704161
8972	0.000584311	3.2333559377624117
7096	0.000584433	3.2332652696144093
2208	0.000584656	3.233099589036388
79676	0.000584657	3.23309884621649
132724	0.000584855	3.2329517929015372
9180	0.000585181	3.232709783245827
66035	0.000585701	3.232324034476204
