Entrez	P-value
22897	0.0
51085	0.0
85440	0.0
8882	0.0
2646	0.0
146894	4e-299
2590	5e-225
22837	1e-125
221037	6e-103
4299	5.0000000000000004e-89
3083	6e-87
3106	1e-79
2621	2e-71
80790	3e-69
717	7e-65
23042	4e-61
84870	9e-58
7423	2e-57
10062	7e-57
388323	2e-53
22864	4e-52
2186	5e-47
2645	7e-45
10599	1e-44
81579	1e-44
3643	1e-44
9489	2e-44
8289	8e-44
350	8e-44
80781	5.999999999999999e-42
83698	8e-38
26291	1e-37
64116	2e-37
6046	1e-36
3250	4e-36
5468	7e-36
160897	1e-35
25816	9e-35
84570	3e-33
406	3.9999999999999997e-32
19	1e-31
54622	6.999999999999999e-30
3482	2.0000000000000002e-29
57678	2.0000000000000002e-29
7643	1.9999999999999997e-28
2139	3e-28
25777	3e-27
84647	4e-27
6514	6e-27
79068	1.9999999999999998e-26
4987	1.9999999999999998e-26
80339	1.9999999999999998e-26
254251	3e-26
10725	3.9999999999999996e-26
64757	5e-25
5602	6e-25
4864	5e-24
10400	5e-24
23224	5e-24
2138	6e-24
55020	1.0000000000000001e-23
7068	2.0000000000000002e-23
55188	2.0000000000000002e-23
2244	4.0000000000000004e-23
9135	1e-22
3416	3e-22
596	3e-22
56034	4e-22
23051	4e-22
57333	4e-22
3777	1e-21
283748	1e-21
11124	2e-21
64788	6e-21
5184	1e-20
10262	1e-20
84286	2e-20
10144	3e-20
8729	7e-20
5929	2e-19
168537	3e-19
127	3e-19
1742	4e-19
96459	4e-19
196	8e-19
23460	9e-19
220963	1e-18
29916	1e-18
64324	3e-18
162427	6e-18
558	8e-18
1080	9e-18
63898	1e-17
84071	3e-17
54778	3e-17
6822	4e-17
10335	5e-17
84456	5e-17
57673	6e-17
51614	7e-17
118	2e-16
196528	2e-16
8508	3e-16
3150	3e-16
51290	4e-16
116496	5e-16
5536	7e-16
659	7e-16
3984	9e-16
80351	1e-15
222643	1e-15
8821	1e-15
5774	1e-15
2550	2e-15
3708	4e-15
4774	7e-15
26278	1e-14
6920	2e-14
5447	3e-14
90427	3e-14
27440	4e-14
9846	5e-14
338557	5e-14
115704	7e-14
85509	8e-14
158219	1e-13
171222	1e-13
57619	2e-13
4233	2e-13
63892	3e-13
23295	3e-13
23368	3e-13
11200	3e-13
23316	5e-13
23211	5e-13
57231	6e-13
7227	6e-13
51196	9e-13
5681	9e-13
54901	1e-12
60386	1e-12
3667	1e-12
150159	2e-12
84159	2e-12
125228	2e-12
1462	2e-12
2194	2e-12
256364	4e-12
29958	4e-12
8685	4e-12
56965	4e-12
1806	6e-12
26751	6e-12
6667	6e-12
197135	1e-11
3632	1e-11
4211	2e-11
5939	2e-11
5494	2e-11
10613	3e-11
221895	3e-11
1112	4e-11
54664	4e-11
7514	4e-11
1408	5e-11
123096	7e-11
22796	7e-11
3035	1e-10
3557	2e-10
338657	2e-10
153	2e-10
1952	2e-10
4629	3e-10
196383	3e-10
4216	3e-10
55209	3e-10
54464	4e-10
23414	4e-10
10411	4e-10
5725	8e-10
3912	9e-10
8701	9e-10
64241	1e-09
5862	1e-09
54971	1e-09
84059	2e-09
79658	2e-09
57484	2e-09
80315	2e-09
143384	2e-09
100507650	2e-09
23603	2e-09
7629	2e-09
55275	2e-09
4286	2e-09
51096	2e-09
6558	3e-09
3925	3e-09
57509	3e-09
51621	4e-09
6655	4e-09
60	5e-09
389136	5e-09
158038	6e-09
5520	6e-09
51637	6e-09
83938	6e-09
1836	7e-09
5346	7e-09
23604	9e-09
8751	9e-09
26959	9e-09
338707	9e-09
64478	1e-08
9879	1e-08
59352	1e-08
6239	1e-08
48	1e-08
10461	1e-08
22981	1e-08
2900	1e-08
4901	1e-08
7325	1e-08
9064	1e-08
64121	1e-08
5733	1e-08
25825	2e-08
26040	2e-08
151126	2e-08
23090	2e-08
57121	2e-08
1284	2e-08
79932	2e-08
686	3e-08
4605	3e-08
5024	3e-08
3172	3e-08
155061	4e-08
7332	4e-08
84318	4e-08
64847	4e-08
64839	5e-08
