Entrez	Gene Symbol	Ensembl ID	P-value
2885	GRB2	ENSG00000177885	6.04e-07
3579	CXCR2	ENSG00000180871	1.53e-06
3274	HRH2	ENSG00000113749	9.07e-06
6195	RPS6KA1	ENSG00000281877	1.01e-05
5585	PKN1	ENSG00000123143	1.83e-05
6354	CCL7	ENSG00000108688	1.84e-05
3454	IFNAR1	ENSG00000142166	1.98e-05
6037	RNASE3	ENSG00000169397	2.21e-05
2787	GNG5	ENSG00000174021	3.43e-05
210	ALAD	ENSG00000148218	4.97e-05
7389	UROD	ENSG00000126088	5.92e-05
5566	PRKACA	ENSG00000288516	7.6e-05
8794	TNFRSF10C	ENSG00000173535	8.77e-05
