Entrez	Gene Symbol	Ensembl ID	P-value
6453	ITSN1	ENSG00000205726	1.57e-06
120227	CYP2R1	ENSG00000186104	6.18e-06
92960	PEX11G	ENSG00000104883	1.22e-05
552889	ATXN7L3B	ENSG00000253719	1.8e-05
390081	OR52E4	ENSG00000180974	1.88e-05
165257	C1QL2	ENSG00000144119	3.46e-05
987	LRBA	ENSG00000198589	3.53e-05
9377	COX5A	ENSG00000178741	3.6e-05
3426	CFI	ENSG00000205403	3.67e-05
7128	TNFAIP3	ENSG00000118503	4.03e-05
4940	OAS3	ENSG00000111331	6.87e-05
54948	MRPL16	ENSG00000166902	7.93e-05
51292	GMPR2	ENSG00000284752	8.22e-05
26173	INTS1	ENSG00000164880	8.23e-05
27338	UBE2S	ENSG00000108106	8.74e-05
